公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
运荔枝科,15-20K,大数据BI工程师,3-5年,本科,成都·锦江区·柳江,10000人以上,数据仓库,ETL,DBA,https://www.zhipin.com/job_detail/377920d9a7c4405f0Hx_2Nq_ElM~.html?lid=89AapUgEF39.search.277&securityId=Ts0Af5T6ZwuN6-g1Y2aCqcePSv7j2NgX2OSVdy-tVpWmX9LhC_QmtAglmbkM0Pd1uw4OcpSgkq9drmo0TG7lCDs8BYxHm9CZACro7LSXNDv489-gkw~~
久远银海,12-20K·13薪,大数据产品经理,3-5年,本科,成都·锦江区·柳江,10000人以上,市场调研,产品设计,数据分析,https://www.zhipin.com/job_detail/990992d9c7ce187b1XZ62N26GVZV.html?lid=89AapUgEF39.search.278&securityId=eo1NY1FAIM9pa-21ECT694W6H1VxcGAPjnUqO9ya_FQTAWogUqE0hITMjyi_MzM7Q66RLlwC0S1GmUjOKCNpcfAY1tth-ePSK4fnTle01gNkop7arGMncmRvoCSo-PJ8P53p2yxJZFMRt13VwjR_
今日头条,30-45K·15薪,数据产品经理-生活服务,5-10年,本科,成都·武侯区·新会展中心,10000人以上,数据产品,数据分析,数据体系建设,https://www.zhipin.com/job_detail/7fb8279b4b2a53a71Xd739S-EFFR.html?lid=89AapUgEF39.search.279&securityId=9OtKZVdZQQTb6-J1W4NJ_F3Br-r7ufLscGxg3XwPb5IzpHkDnqXFyip6fwDiBL9mESB2OygZ2vv80jAMJMOU-eRYlae4FKnnc0KsnLvsS8fdZHM~
MAKE1,5-10K,数据分析员,1年以内,本科,成都·青羊区·黄田坝,10000人以上,Python,,,https://www.zhipin.com/job_detail/b2a54a2b27b132721XV50t-9F1dW.html?lid=89AapUgEF39.search.280&securityId=hXJ0WH2VQ7LIl-L1t4tYcAaXSVl24h4JYr06r97awBV4mCf2ojUNwQJ9Myu194hlb19FnRJpbt_7DY7t44NjxbOVH31JT690ruLCx8iuplye
成都蚂蚁集团,4-5K,业务数据分析员,经验不限,本科,成都,10000人以上,描述统计,,,https://www.zhipin.com/job_detail/98c17a9698e6a9241nZ-3927EFNR.html?lid=89AapUgEF39.search.281&securityId=byJrC3QC0IDV5-c1WQEEw7a1UDCHfJzni4C6y-VKtl0E69_aoRI_zymPZ0cNYgUCBxjPKRTIe2dIDu-F_elsrOAGWSIeOED5_fUMPqolIQPmAkk~
北京字节跳动,18-35K·15薪,资深数据科学家-风控安全,3-5年,本科,成都·成华区·万象城,10000人以上,数据分析,Hadoop,Hive,https://www.zhipin.com/job_detail/4ebf96801dba81d01Xd629S8FVFX.html?lid=89AapUgEF39.search.282&securityId=8R_gHzd7THdZK-t1NTlK-D9Nb8Fw0B8461g9IcwN4WJ8MjOoBijjkbpxOhxVoHcTjcbOIkDhB5n5oNsAM9q7xu0sG2zBHRvicG4SXtScHnnqOfA8Kw~~
达实旗云,18-25K,数据仓库工程师,5-10年,本科,成都·武侯区·新会展中心,10000人以上,SQL,数据建模,数据分析,https://www.zhipin.com/job_detail/9f75c227cb34a1111XR82dS_FlVW.html?lid=89AapUgEF39.search.283&securityId=yzsZcEgstOXCK-71djX600LYqu5FW8_Qrx-aEhVMDJUh1vC29sP53uunalIRTbFuA8uV-rYk0lJzKk4NHuUQSv4vVYSjUGwWm6f2s96yiIDhs_-6VXM_
星合互娱,10-15K,数据产品经理,1-3年,本科,成都·武侯区·新会展中心,10000人以上,SQL,产品设计,数据分析,https://www.zhipin.com/job_detail/834b0a56ca17863e1XV40tW4EFpW.html?lid=89AapUgEF39.search.284&securityId=RP58Ih6H9wETm-216G1Bv3ZtYxpsQ3TL17PwxLhs6DKKFkQPoifphYpnaAuMmeWdIjEx_It5VTY_NWtZryDFZm7shg6f8qgjT7gKFcnay_NH8HeQyA~~
书声科技,12-20K·13薪,数据产品经理,3-5年,本科,成都·武侯区·新会展中心,10000人以上,产品设计,需求分析,数据产品,https://www.zhipin.com/job_detail/aec04b2e398b12ce33J529y8E1U~.html?lid=89AapUgEF39.search.285&securityId=oLfP3VdheFAfx-x1E6de0iAg5hJUySLQIZyfGNHa8TlaEupdenGOrBETjndvxnZVd-qXGB8fQIM-25PB6_2ZZEZgOluOOvRajc_F0dRhAYAHbjg~
运荔枝科,15-20K,大数据BI工程师,3-5年,本科,成都·锦江区·柳江,10000人以上,数据仓库,ETL,数据分析,https://www.zhipin.com/job_detail/7a23de4ea4c6d98f0HN709y4E1I~.html?lid=89AapUgEF39.search.286&securityId=HuH6UXTTSsmQL-R1eePT6dm8y5Ql4bZL2NYJR26eEV4W9uRAj3SWBkQhOilk1GyF-2FDumc9OZ0VtzbIvx8D9ZFqXnMYEUGCL1L5ZaCqXZcttxdO
蚂蚁金服,20-40K·17薪,数据建模/数据仓库/ETL数据研发,3-5年,本科,成都·武侯区·银泰城,10000人以上,数据仓库,ETL,数据挖掘,https://www.zhipin.com/job_detail/e0dcb722415b5a991nV_3du5EFZQ.html?lid=89AapUgEF39.search.287&securityId=V25ke085tBlOd-I1ivnu7-Rt7nGlkJBahJcE14kp3r05hJ6YYfl9TuMGddUYK4--c4TW3NfWw15ixdDGrl8kwD8U0TfmFsQ6_y0AuBNoxGj2cQ~~
久远银海,10-15K,医疗大数据产品经理,5-10年,本科,成都·锦江区·柳江,10000人以上,数据分析,产品规划,数据产品,https://www.zhipin.com/job_detail/c292d39b74d7c8e11XR639W1GVRQ.html?lid=89AapUgEF39.search.288&securityId=qSnrqyCRCVHBQ-T1_IRgVg8iE3abQhHt1e3ELanHKQ0rHxGDImJiXxcmGzX1Ocp1yUuMF35vQyGlsd8nSlis7GwgrAunE1KYgGA17C9BnQVqi3RczA~~
今日头条,27-50K·15薪,经营分析专家,3-5年,本科,成都·成华区·万象城,10000人以上,Excel,Tableau,电商,https://www.zhipin.com/job_detail/c9f135de0ac1466c1XV_2Nq7GFpW.html?lid=89AapUgEF39.search.289&securityId=9QCyye9tNQhXB-k1eW3eNyvMXxP6mFFjYShO2dAcRD0NNMzF7ooOU27zi89lo88Ag2n7S_bIa8P1VhApYWZsxCeQ22mmoWQxWEQZ0b32cFiBCw~~
久远银海,10-15K·13薪,大数据产品经理（民政行业部）,3-5年,本科,成都·锦江区·柳江,10000人以上,大数据产品,需求分析,产品设计,https://www.zhipin.com/job_detail/18e0170fc523ea971XZ_3tS1GVBX.html?lid=89AapUgEF39.search.290&securityId=l42tPQxqj4Ami-S1AHy8Yk1RLt07arF7ytbaB-IMFY6-yrigzSHIwt-EQ9bwX2v1U4MDOqBjHGoT1sYQmYxL6hP4IIuniN5ylJ9tfS0zBvjO2qof
北京字节跳动,5-8K·13薪,字节跳动数据支持BP-成都,经验不限,本科,成都·成华区·万象城,10000人以上,Excel,数据分析,指标测算,https://www.zhipin.com/job_detail/4db597571b3dfef61XZ80ti0EFtR.html?lid=89AapUgEF39.search.291&securityId=vUsK7veLK2Qgs-m1cJPmmLv36Y9qSRAOKm3Ibl45BY_5FZeo6X6GDQNsHAaz7mFBAIFeDfFyKnwWiO4ozHS83Fb-4preIkH074yKFGvxCMgq1Lga
