公司名称,薪资,工作岗位,要求工作经验,要求学历,公司地址,公司人数,标签1,标签2,标签3,招聘链接
美团服务体验中心,20-40K·16薪,大数据挖掘工程师,5-10年,本科,成都·武侯区·铁像寺,100-499人,数据挖掘,数据仓库,数据分析,https://www.zhipin.com/job_detail/1ecea7f8d9e9b1de0Xxz2t28FVM~.html?lid=89AapUgEF39.search.236&securityId=fVBK2w6JWLNy1-419884-8ZGfF8WK8IaXCOg_8HJrWK6LpxbY2HH2jEeYCCAnTBk3eUMt0TeaOd5kVdB4CmCx2lu3IMLry565MHA9soxjDfOYIM~
易达数安,6-12K,产品经理（大数据）,3-5年,本科,成都·武侯区·石羊场,100-499人,数据分析,,,https://www.zhipin.com/job_detail/7dc27c4c9da6d4211XR809-_Flo~.html?lid=89AapUgEF39.search.237&securityId=eQN5hHqDjNTrv-c10dgDkey6O2uGOgMa0Jl-_JJ8Ka9twkshN7wk6TR03K6__-dlrAaSZu0xAtuW2q9RyLgxy2WmY8ow-rQ7A-RN7EYPNsejfCBC
智库2861,15-25K,数据挖掘工程师,3-5年,本科,成都·武侯区·新会展中心,100-499人,数据挖掘,大数据,人工智能,https://www.zhipin.com/job_detail/91be1994831b1c3e1nRz3tm-E1U~.html?lid=89AapUgEF39.search.238&securityId=pkFs7y1CKgtpY-B1XUvAiRDHPI6cnWVvjL-mXJLRV2qKCo9ggvqy4W3c8zu8RaZ477F4jf57WIGawwmD5H8ucItLBNJI0noatswatJYk-bQrSMQ~
阿里云,30-60K,大数据架构师(成都),5-10年,本科,成都·武侯区·新会展中心,100-499人,数据仓库,数据挖掘,ETL,https://www.zhipin.com/job_detail/a50bc857e6c1e76a0HZ52dq6ElM~.html?lid=89AapUgEF39.search.239&securityId=MwF2vWz1xNcuY-I1utZyBGjAknF8NPsjXE7arCG6eSOKFzxV_BjgCNeFHJuYnLEaYWFuKHrs2ZaWjT8eVeuMv4hSeSYazLmDzE2n_JTWZBlC9jpc
西部硅谷,15-30K,大数据咨询专家,5-10年,本科,成都·金牛区·国宾,100-499人,市场调研,大数据产品,需求分析,https://www.zhipin.com/job_detail/98e096c9a8b052cc1XZ709-0GFVQ.html?lid=89AapUgEF39.search.240&securityId=N4-UeLnSx7Yuq-r19MDgKnUliAJSFY2MRwUix1-uNkIIe6QgFFpmPOow8KYoAFQQzkYy781DvqUO5KkXkmrUbQT5b9pRcEV5Q_o31OBgWnEGLz3L-w~~
贵州润可,7-12K,中级数据开发工程师,1-3年,本科,成都·武侯区·孵化园,20-99人,ETL,数据库开发,数据挖掘,https://www.zhipin.com/job_detail/84ab7c11a7a050fd0nJz2Nm7ElU~.html?lid=89AapUgEF39.search.241&securityId=NDAJQrgNVqWaB-h1sHPG-k_OJggi0kVY2xBFLNGu6Ul0EEufvG2SMeEUMBJeNbQoJuVvDTWLvde8NDvPRrYYVOa_IgDHRRaX3PREONG4ni6q7Lo1
鲜生活冷链物流,15-30K,高级大数据BI工程师,3-5年,本科,成都·锦江区·琉璃场,20-99人,数据仓库,ETL,DBA,https://www.zhipin.com/job_detail/3123a7322ca229691nZ52Nu_FVRV.html?lid=89AapUgEF39.search.242&securityId=0yPj1VbWEA6LT-01qMKD5XShxthCB1aB04AkdlVeZtXBBKVE4L8t5ztm-SYSaG0Opt0J9Z0qHi87raEJylCEMRmIUCWGTvKbzkG76CO5ibNHTipc6A~~
快牛智能,15-25K,大数据开发工程师,3-5年,本科,成都·武侯区·新会展中心,20-99人,数据仓库,数据分析,数据治理,https://www.zhipin.com/job_detail/8c6b03a7a1dcae0e3nJ73Nm1FFM~.html?lid=89AapUgEF39.search.243&securityId=9LcuFmVd13mKx-v1kiV83-NF94FnBwhpV6Oo17BdJQSUjC5PWsltWVqiQiplbHaMwTzK3VZB0ClBN-wRCmV9o_xXabDUPYaM5FMnqVl0I-aDLJ4h
星佑科技,10-15K,数据处理工程师,3-5年,本科,成都·青羊区,20-99人,数据架构,安全,数据分析,https://www.zhipin.com/job_detail/494462a4994ad6190nF42tu5FQ~~.html?lid=89AapUgEF39.search.244&securityId=eTp0Z7B2RYcVO-1154TqOyPZ_tNz-awjEic24TJ0x7a0XA_vSznhS0xCM7eSJwylZdgp9jTrFUCE2MZAowU9C0bbWzdTAOLgdhZC7DxDIJnw
森微科技,15-30K,大数据架构师,10年以上,本科,成都·武侯区·银泰城,20-99人,大数据,数据架构师,数据分析,https://www.zhipin.com/job_detail/e36e205cf3612a571nV53dW4EVFQ.html?lid=89AapUgEF39.search.245&securityId=5j_ARmc2XxZkF-d1gmyfzplBhCc-6Jci8jHmrXcWdbNQzprOQcXhHz6_lG6rgjmKoM2vWDB0pAknk_gEny6rsiNGNs4VbpiN9tnoRBWwdGSbQSTETw~~
